impulse_data_id	measurement_id	impulse_data_start_time	impulse_data_end_time	impulse_data_duration	impulse_data_threshold	impulse_data_min	impulse_data_avg	impulse_data_max	Threshold	ScanWindowSize	PreImpulseSize	PostImpulseSize	TimeOfMin	TimeOfMax	Severity	Rank
486518	102032	2020-11-16 6:11:45	2020-11-16 6:16:01	256	19.84616	52.38462	85.28192982	92.38462	258	200	200	500	2020-11-16 6:12:44	2020-11-16 6:13:27	0.9380650763	4
time_stamp	value
2020-11-16 06:12:13.7500000	90.92308
2020-11-16 06:12:14.0000000	90.76923
2020-11-16 06:12:14.2500000	90.76923
2020-11-16 06:12:14.5000000	90.53847
2020-11-16 06:12:14.7500000	90.69231
2020-11-16 06:12:15.0000000	90.53847
2020-11-16 06:12:15.2500000	90.53847
2020-11-16 06:12:15.5000000	90.46154
2020-11-16 06:12:15.7500000	90.76923
2020-11-16 06:12:16.0000000	90.53847
2020-11-16 06:12:16.2500000	90.61539
2020-11-16 06:12:16.5000000	90.38462
2020-11-16 06:12:16.7500000	90.61539
2020-11-16 06:12:17.0000000	90.46154
2020-11-16 06:12:17.2500000	90.38462
2020-11-16 06:12:17.5000000	90.30769
2020-11-16 06:12:17.7500000	90.46154
2020-11-16 06:12:18.0000000	90.38462
2020-11-16 06:12:18.2500000	90.69231
2020-11-16 06:12:18.5000000	90.46154
2020-11-16 06:12:18.7500000	90.69231
2020-11-16 06:12:19.0000000	90.61539
2020-11-16 06:12:19.2500000	90.69231
2020-11-16 06:12:19.5000000	90.53847
2020-11-16 06:12:19.7500000	90.53847
2020-11-16 06:12:20.0000000	90.69231
2020-11-16 06:12:20.2500000	90.92308
2020-11-16 06:12:20.5000000	90.69231
2020-11-16 06:12:20.7500000	90.76923
2020-11-16 06:12:21.0000000	90.69231
2020-11-16 06:12:21.2500000	90.76923
2020-11-16 06:12:21.5000000	90.76923
2020-11-16 06:12:21.7500000	90.92308
2020-11-16 06:12:22.0000000	90.92308
2020-11-16 06:12:22.2500000	90.69231
2020-11-16 06:12:22.5000000	90.84616
2020-11-16 06:12:22.7500000	90.76923
2020-11-16 06:12:23.0000000	90.69231
2020-11-16 06:12:23.2500000	90.46154
2020-11-16 06:12:23.5000000	90.07693
2020-11-16 06:12:23.7500000	90.07693
2020-11-16 06:12:24.0000000	90.07693
2020-11-16 06:12:24.2500000	90.00001
2020-11-16 06:12:24.5000000	89.84616
2020-11-16 06:12:24.7500000	89.69231
2020-11-16 06:12:25.0000000	89.76923
2020-11-16 06:12:25.2500000	89.84616
2020-11-16 06:12:25.5000000	89.61539
2020-11-16 06:12:25.7500000	89.61539
2020-11-16 06:12:26.0000000	89.61539
2020-11-16 06:12:26.2500000	89.61539
2020-11-16 06:12:26.5000000	89.30769
2020-11-16 06:12:26.7500000	89.61539
2020-11-16 06:12:27.0000000	89.46154
2020-11-16 06:12:27.2500000	89.38462
2020-11-16 06:12:27.5000000	89.61539
2020-11-16 06:12:27.7500000	89.46154
2020-11-16 06:12:28.0000000	89.84616
2020-11-16 06:12:28.2500000	90.00001
2020-11-16 06:12:28.5000000	90.07693
2020-11-16 06:12:28.7500000	90.53847
2020-11-16 06:12:29.0000000	90.84616
2020-11-16 06:12:29.2500000	90.76923
2020-11-16 06:12:29.5000000	90.76923
2020-11-16 06:12:29.7500000	90.92308
2020-11-16 06:12:30.0000000	91.07693
2020-11-16 06:12:30.2500000	91.15385
2020-11-16 06:12:30.5000000	91.30769
2020-11-16 06:12:30.7500000	91.38462
2020-11-16 06:12:31.0000000	91.30769
2020-11-16 06:12:31.2500000	91.15385
2020-11-16 06:12:31.5000000	91.00001
2020-11-16 06:12:31.7500000	90.84616
2020-11-16 06:12:32.0000000	90.84616
2020-11-16 06:12:32.2500000	90.69231
2020-11-16 06:12:32.5000000	90.84616
2020-11-16 06:12:32.7500000	90.61539
2020-11-16 06:12:33.0000000	90.61539
2020-11-16 06:12:33.2500000	90.84616
2020-11-16 06:12:33.5000000	91.00001
2020-11-16 06:12:33.7500000	91.23077
2020-11-16 06:12:34.0000000	91.23077
2020-11-16 06:12:34.2500000	91.15385
2020-11-16 06:12:34.5000000	91.00001
2020-11-16 06:12:34.7500000	91.00001
2020-11-16 06:12:35.0000000	90.92308
2020-11-16 06:12:35.2500000	90.84616
2020-11-16 06:12:35.5000000	91.07693
2020-11-16 06:12:35.7500000	91.00001
